source,target
teh chamomile,flower tea
teh chamomile,sariwangi
teh chamomile,Earl grey
teh chamomile,instat ginger tea
teh putih,flower tea
teh putih,sariwangi
teh putih,Earl grey
teh putih,instat ginger tea 
teh dandelion,bangkit wangi
teh dandelion,tradisional madicinalis
teh dandelion,flowet tea
teh dandelion,sariwangi
teh tubruk,flowet tea
teh tubruk,sariwangi
teh tubruk,Earl grey
