source,brand 
teh chamomice,flowet tea
teh melati,sari wangi
teh hitam,EARL GREY
 teh sari jahe,instant gingertea
teh putih,kedaton djongja
teh dandelion,tradisional medicinals
teh tubruk,djenggot jasmine tea
teh melati premiun,bankit wangi
teh olong,teh 63 jawa olong 
